Title,Type,Volumes,Members,Score
Guignol Kyuutei Gakudan,Manga,5,6960,7.54
Tsun-Ama na Kareshi,Manga,4,4723,7.54
Hibi Chouchou,Manga,12,72814,7.54
Wonder 3,Manga,3,702,7.54
Kuu Neru Futari Sumu Futari,Manga,5,1668,7.54
Tamashii no Futago,Manga,2,2295,7.54
The Reaper,Manhwa,NULL,5484,7.54
Tokyo Alien Brothers,Manga,3,2679,7.54
Tondemo Skill de Isekai Hourou Meshi: Sui no Daibouken,Manga,NULL,2163,7.54
Sensei wa Sadistic,Manga,1,3201,7.54
Magika no Kenshi to Basileus,Light-Novel,14,3882,7.54
Veritas,Manhwa,10,18977,7.54
IDOLiSH7: Trigger - Before the Radiant Glory,Manga,1,932,7.54
Futari no Renai Shoka,Manga,2,14950,7.54
Ma no Kakera,Manga,1,20218,7.54
Yumi to Kurumi,Manga,1,1815,7.54
Cavalier of the Abyss,Manhwa,24,12908,7.54
Ozanari Dungeon,Manga,17,617,7.54
Kuai Ba Wo Ge Dai Zou,Manhua,NULL,7077,7.54
Higurashi no Naku Koro ni: Kataribanashi-hen Comic Anthology EX.,Manga,7,2208,7.54
Psycho-Pass: Kanshikan Kougami Shinya,Manga,6,5327,7.54
Let's! Haikyuu!NULL,Manga,NULL,2845,7.54
Kidou Senshi Gundam: Giren Ansatsu Keikaku,Manga,4,691,7.54
Zelda no Densetsu: Majora no Kamen,Manga,1,14265,7.54
Naruto Retsuden Series,Light-Novel,3,778,7.54
Kanojo-tachi no X-Day,Manga,2,4852,7.54
Hidan no Aria AA,Manga,14,1984,7.54
Occultic;Nine,Light-Novel,3,2400,7.54
Gundam Sentinel,Light-Novel,1,755,7.54
Bara no Tame ni,Manga,16,2368,7.54
Yume de Aetara,Manga,17,4907,7.54
Hakoiri Drops,Manga,6,5311,7.54
Attack No.1,Manga,12,671,7.54
Princess Princess,Manga,5,7643,7.54
Kino no Tabi: The Beautiful World,Manga,5,1688,7.54
The Villainess Is a Marionette,Manhwa,NULL,5830,7.54
Masca: The Tale of the Great Mage of Hessed,Manhwa,12,2262,7.54
Parfait Tic!,Manga,22,9087,7.54
Sora to Hara,Manga,1,8780,7.53
Shokugeki no Souma: à la Carte,Light-Novel,3,2517,7.53
Amagami-san Chi no Enmusubi,Manga,NULL,14611,7.53
Palace Meidi,Manga,7,2336,7.53
Nyx no Lantern,Manga,6,899,7.53
Drug & Drop,Manga,NULL,4166,7.53
Meitantei Yumemizu Kiyoshirou Jiken Note,Manga,13,518,7.53
Gohan no Otomo,Manga,2,693,7.53
38-do Senjou no Kaibutsu,Manga,1,276,7.53
QP,Manga,8,2640,7.53
Nijigahara Holograph,Manga,1,45191,7.53
Kizudarake no Jinsei,Manga,15,1160,7.53
Kokuhaku Yokou Renshuu Series,Light-Novel,NULL,4879,7.53
Tonari no Atashi,Manga,10,12495,7.53
Akuyaku Reijou nanode Last Boss wo Kattemimashita,Manga,3,14181,7.53
One Week Family,Manga,1,851,7.53
Itou Junji Kyoufu Hakubutsukan 10: Shibito no Koiwazurai,Manga,1,7464,7.53
Seto no Hanayome,Manga,16,8437,7.53
Yasha,Manga,12,2326,7.53
Getter Robo Āḥ,Manga,3,1815,7.53
Arslan Senki,Light-Novel,16,1764,7.53
Etsusa Oohashi Series,Light-Novel,4,2001,7.53
Boku wa Tomodachi ga Sukunai,Light-Novel,11,11735,7.53
Love Roma,Manga,5,5250,7.53
Tada no Renai nanka de Kikkonai: Kojirase Joushi to Fetish na Buka,Manga,NULL,2438,7.53
Happy!,Manga,23,6943,7.53
"""Kare"" First Love",Manga,10,16355,7.53
Murim Login,Manhwa,NULL,4282,7.53
Sidooh,Manga,25,11508,7.53
Mushoku Tensei: Eris wa Honki de Kiba wo Togu,Manga,1,2679,7.53
Do Chokkyuu Kareshi x Kanojo,Manga,7,29191,7.53
Author of My Own Destiny,Manhwa,NULL,4074,7.53
"Sore wa Totsuzen, Unmei no Aite ga",Manga,4,13067,7.53
Eat-Man,Manga,19,3589,7.53
Short Cake Cake,Manga,12,11967,7.53
Bleach Unmasked Short Stories,Manga,NULL,5814,7.53
"Mahou Shoujo Tart★Magica: The Legend of ""Jeanne d'Arc""",Manga,5,2759,7.53
Moon You,Manhwa,4,1254,7.53
Ore no Shibou Flag ga Todomaru Tokoro wo Shiranai,Manga,NULL,6060,7.53
GunSmith Cats Burst,Manga,5,3125,7.53
Kodoku no Gourmet,Manga,2,3433,7.53
Marry Grave,Manga,5,6791,7.53
"Ore ga Akuma de, Aitsu ga Yome de.",Manga,2,7632,7.53
Adabana,Manga,3,9731,7.53
Ryou,Manga,13,1482,7.53
Tokyo Tarareba Musume,Manga,9,5527,7.53
Haiyore! Nyaruko-san,Light-Novel,12,2435,7.53
Conductor,Manga,4,5058,7.53
Yuuki Yuuna wa Yuusha de Aru,Manga,5,2784,7.53
Sekai no Owari no Encore,Light-Novel,10,1796,7.53
Tamako Love Story,Light-Novel,1,956,7.53
"Megane, Tokidoki, Yankee-kun",Manga,NULL,9321,7.53
Shitayomi Danshi to Toukou Joshi,Light-Novel,1,845,7.53
The Book: JoJo's Bizarre Adventure 4th Another Day,Light-Novel,1,3727,7.53
High School! Kimengumi,Manga,20,521,7.52
Dekiru Neko wa Kyou mo Yuuutsu,Manga,NULL,1497,7.52
Villainess in Love,Manhwa,NULL,3119,7.52
Negative-kun to Positive-kun,Manga,1,5591,7.52
"Yoake ni Furu,",Manga,2,2514,7.52
Sabu to Ichi Torimono Hikae,Manga,17,1245,7.52
Little Rabbit and the Big Bad Leopard,Manhwa,NULL,2779,7.52
Subaru to Suu-san,Manga,6,1967,7.52
Orenchi no Furo Jijou,Manga,8,6191,7.52
Kids Are All Right,Manhwa,2,1147,7.52
Knight Run,Manhwa,NULL,2810,7.52
Aioi Wakaba to Ita Hitotsuki ni Tsuite,One-shot,NULL,1032,7.52
Oroka na Tenshi wa Akuma to Odoru,Manga,NULL,18184,7.52
Re:Monster,Light-Novel,10,6072,7.52
The Lazy Lord Masters the Sword,Manhwa,NULL,8135,7.52
Shuffle!,Manga,6,2435,7.52
Kyou no Cerberus,Manga,12,17564,7.52
Kimagure Orange☆Road,Manga,18,6406,7.52
Tonari ni,Manga,1,493,7.52
Keyaki no Ki,Manga,1,1178,7.52
Kotou Buchou,Manga,4,1226,7.52
Shissou Nikki,Manga,1,2814,7.52
Watashi ga Motete Dousunda,Manga,14,48987,7.52
Sayonara Miniskirt,Manga,NULL,2014,7.52
Kariage-kun,Manga,NULL,267,7.52
Ai yori Aoshi,Manga,17,13222,7.52
Stigma,Manga,1,2348,7.52
Ginga Nagareboshi Gin Shin Gaiden,Manga,2,574,7.52
Shounen Note,Manga,8,4872,7.52
